"Variable","Stage","Mean","Median","Max","NA_Percent","Outliers"
"Loss","Before",544769.800252103,11460.45,1e+09,6,526
"Loss","After",12774.4000648341,10304.09,144941.43,0,0
"DownTime","Before",20.2956445181962,6,9999,0.4,1113
"DownTime","After",12.9157575092245,6,50,0,0
"Ransom","Before",217.828865339072,8.8,12345,27.3848827106864,54473
"Ransom","After",9.99479042325151,7.04,95.11,35.780283923646,0
