"Variable","Valid_Before","Valid_After","Values_Removed","Removal_Rate","Min_Before","Min_After","Max_Before","Max_After","Mean_Before","Mean_After","Mean_Change_Pct"
"Ransom",430437,375263,55174,12.82,0.07,0.35,12345,95.23,217.828865339072,11.5259569421979,-94.71
"DownTime",590635,559700,30935,5.24,-5,0,9999,50,20.2956445181962,12.1757709487714,-40.01
"Loss",556973,546171,10802,1.94,-99999999,31,1e+09,144941.43,491283.223964073,14581.6031235954,-97.03
