"Variable","Valid_Before","Valid_After","Values_Removed","Removal_Rate","NA_Before","NA_After","NA_Increase","Mean_Before","Mean_After","Mean_Change_Pct"
"Ransom",374372,359160,15212,4.06,218393,233605,15212,10.0320061532465,10.0320061532465,0
"DownTime",559350,544138,15212,2.72,33415,48627,15212,12.3658226405765,12.3658226405765,0
"Loss",545301,530089,15212,2.79,47464,62676,15212,13328.1945862646,13328.1945862646,0
